1.10.100.1	9495482
6.695.839.51	80884
2.487.660.17	39951
6.712.294.14	32797
2.377.488.79	14736
2.947.360.76	33454
7.110.168.84	13834
5.277.498.28	94640
2.139.909.79	39984
7.865.843.45	39155
5.170.622.38	99578
2.900.246.19	79320
5.264.917.98	6707
6.257.871.71	23449
5.736.514.40	77918
6.784.845.33	42020
6.939.869.41	99130
8.615.365.94	84880
7.992.751.97	14622
5.859.900.24	62391
3.133.692.14	95122
2.728.644.96	31327
5.402.865.15	89815
7.253.340.29	8265
2.289.458.33	29512
6.452.924.24	9366
2.149.991.53	46312
3.844.835.48	44750
2.432.245.36	94860
7.135.235.15	52094
7.387.920.13	13659
7.611.634.77	14709
6.347.851.17	52012
3.597.339.54	47092
3.606.563.90	77841
7.804.189.91	14911
5.297.164.82	39016
7.876.297.56	85392
7.630.379.57	2876
2.837.278.57	27372
8.144.902.83	90249
8.985.897.81	52626
6.750.752.67	43728
5.531.289.55	1643
8.250.587.23	20804
6.539.731.11	71716
3.910.823.82	81273
3.265.382.88	81073
7.140.184.21	23508
2.176.546.39	1779
2.885.507.50	87247
8.437.509.68	23324
5.180.623.49	81121
7.869.837.11	64124
6.860.295.17	87417
2.276.552.63	64641
3.642.193.77	9574
3.794.973.13	47491
6.125.806.60	90394
7.224.206.49	14657
6.943.446.55	71302
3.580.230.75	97931
8.218.898.37	2823
2.945.209.45	1756
7.599.125.38	16025
6.212.354.75	15962
6.657.169.64	28905
3.837.150.60	83249
2.295.814.40	64548
2.423.340.36	4901
4.378.575.24	48431
7.522.446.61	1898
2.618.752.28	15417
7.390.431.90	50519
3.755.139.96	5832
5.144.426.30	56550
6.761.865.46	52517
7.141.294.72	16412
7.355.413.77	65898
2.136.437.17	7902
2.679.427.23	92921
5.270.874.58	90722
8.219.664.17	6170
5.697.718.69	49663
6.409.663.93	77610
7.912.270.26	19125
8.249.723.87	59180
5.221.917.47	3640
2.368.164.21	20866
2.929.209.36	10204
3.817.717.17	29022
8.201.936.76	23509
8.739.849.86	53421
8.868.393.88	96629
6.445.154.28	32924
6.920.266.63	27303
4.101.613.89	37723
4.816.248.41	81756
3.268.558.30	49831
2.966.264.39	69862
2.759.737.77	25859
6.492.792.96	21581
8.752.370.77	80149
6.565.222.69	44805
7.990.271.95	100007
2.960.487.55	5146
7.678.383.11	46153
5.701.271.49	77741
4.604.954.94	19462
8.626.428.33	38835
8.845.760.63	74739
4.637.936.87	26795
2.866.662.18	41605
3.106.462.65	56176
8.818.852.79	63485
3.347.876.65	34670
4.508.120.34	22366
8.419.200.64	93055
2.941.128.81	8231
2.711.637.62	78790
6.874.837.12	92031
3.357.189.53	8482
3.720.662.75	42637
3.539.609.90	9298
8.158.806.39	60469
6.187.131.47	47315
5.608.523.62	30406
3.595.826.65	88908
6.894.175.56	17109
8.186.915.29	65563
2.345.594.65	86165
6.203.269.26	60891
8.773.538.24	8259
5.952.617.14	57195
5.973.690.58	43176
7.630.507.84	17726
4.556.759.59	16578
6.357.778.93	74562
5.480.251.59	84350
7.297.901.53	36168
2.464.120.16	83817
6.458.997.87	20860
7.288.933.59	88280
6.299.822.18	8751
5.298.602.63	34122
4.588.521.51	46266
8.362.844.46	83224
2.554.913.93	94023
7.652.852.74	93510
3.883.919.36	91627
4.603.676.46	90276
6.905.854.79	44993
6.362.926.45	31335
6.128.909.26	54871
3.564.715.93	14152
5.180.428.52	13597
7.424.688.63	45838
7.197.878.85	72521
2.849.196.32	98329
4.602.998.72	18168
3.106.976.72	78096
8.808.101.79	46957
7.326.124.33	58463
7.697.228.23	34215
8.279.212.10	25975
4.655.946.67	58320
3.263.916.12	76313
4.394.617.31	49996
3.984.119.55	99888
7.572.490.52	32216
7.772.290.27	82630
6.387.370.19	76686
5.780.415.82	34477
4.936.343.98	75589
4.766.935.29	99698
4.701.189.90	28129
2.187.543.24	42524
4.503.963.85	79426
6.959.864.71	99508
2.291.775.73	95472
3.936.292.46	85672
