creditor	2.617.276.74	638
creditor	6.284.170.66	517
creditor	2.534.916.24	13
creditor	3.159.554.84	225
creditor	4.563.515.41	518
creditor	4.442.324.16	474
creditor	6.408.690.75	815
creditor	8.966.369.23	279
creditor	5.526.690.96	237
creditor	5.635.861.80	69
creditor	6.975.631.44	536
creditor	3.730.970.73	872
creditor	7.208.110.82	248
creditor	2.789.996.74	862
creditor	6.323.299.37	919
creditor	4.368.359.84	495
creditor	8.299.490.59	896
creditor	3.282.478.85	54
creditor	8.391.715.83	407
creditor	8.951.335.84	79
creditor	7.533.917.76	133
creditor	2.514.588.94	802
creditor	3.863.585.25	582
creditor	8.588.804.88	403
creditor	2.144.814.97	111
creditor	6.994.393.59	659
creditor	6.655.810.80	609
creditor	4.919.769.96	270
creditor	2.248.210.53	456
creditor	4.796.280.81	988
creditor	5.491.566.82	605
creditor	7.397.151.84	453
creditor	7.838.109.11	288
creditor	4.564.163.89	509
creditor	3.698.759.86	147
creditor	8.444.541.76	676
creditor	6.490.800.52	319
creditor	8.160.989.23	330
creditor	8.810.473.23	341
creditor	2.824.616.82	120
creditor	7.599.409.87	568
creditor	6.568.458.58	119
creditor	2.272.557.90	150
creditor	2.329.336.14	212
creditor	8.680.786.44	544
creditor	7.200.184.52	267
creditor	7.178.789.61	934
creditor	3.892.777.60	707
creditor	7.102.206.69	930
creditor	2.671.829.45	198
creditor	6.723.555.55	371
creditor	6.550.358.74	312
creditor	3.871.798.51	111
creditor	4.676.315.87	182
creditor	8.378.276.53	219
creditor	8.650.318.21	355
creditor	5.677.333.90	89
creditor	6.382.743.84	298
creditor	4.570.426.29	604
creditor	6.336.909.25	252
creditor	2.617.757.11	627
creditor	7.676.780.13	414
creditor	5.966.214.93	775
creditor	8.760.154.42	783
creditor	3.823.131.43	664
creditor	7.173.520.23	314
creditor	3.680.856.88	515
creditor	6.792.509.47	428
creditor	4.123.213.17	334
creditor	2.688.317.62	363
creditor	5.332.901.27	653
creditor	6.296.228.50	252
creditor	5.941.515.92	148
creditor	8.446.144.90	323
creditor	3.872.115.44	372
creditor	2.432.917.94	125
creditor	7.852.506.44	154
creditor	4.147.819.96	204
creditor	6.285.448.55	244
creditor	4.403.924.38	245
creditor	4.851.788.45	151
creditor	8.100.429.90	285
creditor	5.324.256.64	195
creditor	4.907.932.60	245
creditor	5.882.516.84	261
creditor	3.343.382.50	682
creditor	2.226.349.90	829
creditor	4.654.166.21	376
creditor	6.747.173.89	433
creditor	5.847.985.75	79
creditor	6.457.483.45	814
creditor	6.260.354.13	516
creditor	7.518.719.65	695
creditor	2.332.267.42	522
creditor	8.429.871.63	269
creditor	5.592.709.85	21
creditor	8.430.235.22	220
creditor	2.484.144.80	390
creditor	2.184.575.78	332
creditor	4.259.730.72	665
creditor	8.566.456.15	513
creditor	8.440.901.32	924
creditor	6.448.456.86	370
creditor	8.828.101.18	167
creditor	2.362.243.40	309
creditor	6.141.686.70	949
creditor	6.119.426.28	504
creditor	5.586.787.95	74
creditor	2.783.767.90	968
creditor	4.424.105.82	661
creditor	4.620.287.46	402
creditor	2.253.111.24	988
creditor	5.432.856.37	457
creditor	7.919.305.36	613
creditor	5.606.781.66	526
creditor	6.146.613.62	402
creditor	2.744.574.54	226
creditor	2.827.334.64	274
creditor	6.772.704.49	276
creditor	6.737.351.12	643
creditor	6.742.119.55	547
creditor	6.728.780.46	797
creditor	3.965.901.94	726
creditor	8.433.862.64	681
creditor	5.919.740.29	124
creditor	6.832.159.70	866
creditor	6.139.786.61	886
creditor	7.857.657.57	796
creditor	6.851.540.10	55
creditor	8.679.621.58	756
creditor	2.544.171.16	682
creditor	3.490.969.18	383
creditor	5.454.224.61	451
creditor	8.164.964.70	989
creditor	3.399.446.21	108
creditor	3.287.165.82	358
creditor	8.993.196.27	285
creditor	2.974.782.44	205
creditor	4.465.887.31	227
creditor	8.449.315.56	965
creditor	2.836.137.27	279
creditor	8.997.197.37	135
creditor	3.306.332.51	963
creditor	6.485.132.18	952
creditor	6.244.494.39	905
creditor	4.580.143.62	801
creditor	5.606.368.81	888
creditor	5.555.505.73	383
creditor	3.247.747.66	814
creditor	6.363.786.44	321
creditor	8.927.931.60	432
creditor	5.254.884.86	601
creditor	8.445.292.76	254
creditor	3.984.892.96	957
creditor	6.449.528.62	217
creditor	4.768.367.48	73
creditor	3.107.203.92	296
creditor	6.702.864.77	269
creditor	7.294.244.68	443
creditor	3.705.492.77	142
creditor	4.497.987.15	944
creditor	8.519.265.24	518
creditor	7.973.715.73	541
creditor	8.350.205.64	920
creditor	2.922.527.17	423
creditor	2.406.749.80	690
creditor	3.268.826.67	505
creditor	8.256.241.69	853
creditor	5.483.896.11	243
creditor	3.197.472.73	774
creditor	8.154.574.49	621
creditor	8.147.428.72	681
creditor	6.296.286.76	818
creditor	3.889.493.18	163
creditor	7.506.645.15	514
creditor	5.375.194.61	817
creditor	4.985.572.89	745
creditor	3.506.196.36	327
creditor	6.629.290.15	720
creditor	6.327.481.32	396
creditor	6.167.167.80	26
creditor	6.665.640.28	109
creditor	6.231.727.11	212
creditor	2.450.415.11	493
creditor	4.641.186.14	823
creditor	7.386.163.23	301
creditor	4.224.248.58	581
creditor	3.238.503.12	263
creditor	6.121.427.89	549
creditor	5.687.415.31	362
creditor	5.404.640.56	807
creditor	5.891.849.65	20
creditor	3.340.848.49	367
creditor	5.219.698.25	406
creditor	5.464.385.16	815
creditor	2.300.330.82	488
creditor	4.872.511.33	415
creditor	7.300.536.66	850
creditor	2.837.602.97	256
creditor	5.577.327.71	746
creditor	4.127.980.20	313
creditor	8.246.951.71	342
creditor	5.270.966.66	203
creditor	3.439.192.47	609
creditor	4.973.484.88	785
creditor	3.620.570.92	853
creditor	2.677.501.85	707
creditor	7.204.810.92	464
creditor	3.899.548.72	448
creditor	7.339.902.25	56
creditor	8.115.717.35	402
creditor	7.540.182.49	790
creditor	5.416.651.77	89
creditor	6.698.587.15	376
creditor	8.504.201.69	599
creditor	3.502.117.96	893
creditor	2.134.256.97	4
creditor	6.885.960.35	343
creditor	4.537.307.65	564
creditor	3.443.601.62	590
creditor	5.360.908.42	202
creditor	4.932.150.63	114
creditor	7.855.636.36	922
creditor	2.165.334.53	861
creditor	4.887.744.63	545
creditor	4.900.890.59	303
creditor	8.193.603.81	368
creditor	7.669.661.33	704
creditor	2.139.843.81	154
creditor	8.482.459.32	508
creditor	8.555.365.35	144
creditor	7.318.512.60	723
creditor	4.944.102.67	624
creditor	2.810.269.95	132
creditor	3.900.247.47	957
creditor	3.886.330.84	176
creditor	3.426.511.16	879
creditor	2.189.381.39	413
creditor	8.416.447.24	289
creditor	2.525.207.83	501
creditor	4.647.292.42	737
creditor	4.615.193.91	770
creditor	8.902.692.98	289
creditor	5.493.342.83	583
creditor	2.232.917.89	488
creditor	4.537.228.50	848
creditor	6.503.282.21	681
creditor	5.105.424.50	238
creditor	7.242.242.97	60
creditor	4.542.566.59	898
creditor	6.522.914.34	396
creditor	8.336.204.30	699
creditor	2.804.108.15	590
creditor	6.719.460.82	357
creditor	2.965.818.92	845
creditor	6.818.543.45	85
creditor	6.235.161.94	464
creditor	4.354.957.52	776
creditor	7.449.329.24	53
creditor	6.583.880.50	120
creditor	8.437.665.51	141
creditor	2.601.416.77	456
creditor	7.979.478.36	70
creditor	2.441.502.88	604
creditor	2.836.770.78	328
creditor	4.183.764.26	433
creditor	3.615.525.29	363
creditor	3.406.942.90	375
creditor	4.960.688.14	329
creditor	4.520.165.19	687
creditor	2.643.679.76	134
creditor	2.719.760.55	797
creditor	2.659.785.97	624
creditor	7.133.695.67	703
creditor	5.887.675.58	741
creditor	8.900.100.12	994
creditor	6.211.681.47	997
creditor	3.723.587.71	765
creditor	7.599.856.79	682
creditor	6.528.139.47	357
creditor	7.959.382.78	794
creditor	8.124.793.63	612
creditor	4.754.751.96	816
creditor	8.738.296.90	67
creditor	3.307.971.76	97
creditor	6.762.177.84	326
creditor	2.734.182.50	774
creditor	6.957.861.38	640
creditor	8.649.367.67	914
creditor	6.203.687.30	605
creditor	5.440.780.88	746
creditor	7.171.611.79	757
creditor	8.439.460.75	680
creditor	4.146.780.29	765
creditor	4.480.204.10	86
creditor	2.849.623.80	861
creditor	6.970.226.22	639
